video_id,publish_hour,publish_day_of_week,publish_month,publish_is_weekend,hours_to_trending,channel_age_days_at_publish,duration_seconds,is_short,title_length_chars,title_word_count,title_has_capitalized_word,title_uppercase_ratio,title_exclamation_count,title_question_count,title_has_number,title_has_bracket,title_emoji_count,description_length_chars,description_word_count,description_has_url,description_url_count,description_line_count,has_description,tag_count,has_tags,video_category,video_definition_hd,video_licensed_content,trending_country,channel_country,channel_subscriber_count,channel_view_count,channel_video_count,channel_have_hidden_subscribers,channel_avg_views_per_video,channel_sub_to_view_ratio,channel_description_length,channel_has_custom_url,log_channel_subscriber_count,log_channel_view_count,log_channel_video_count,log_channel_avg_views_per_video,_target_view_count,_target_like_count,_target_comment_count,_target_engagement_rate
KeBCqzTJwXQ,14,0,7,0,0.0,4844.286481481481,2617.0,0,43,7,1,0.4883720930232558,0,0,0,0,0,656,83,1,5,13,1,16,1,Gaming,1,1,Finland,Australia,755000,97948669,82,0,1194495.963414634,0.007708119035287759,62,1,13.534474352733596,18.399954123906333,4.418840607796598,13.993235703605494,58481,6686,590,0.12441647714642362
c4uM2PX15Zc,9,6,7,1,14.992222222222223,1861.214560087257,2774.0,0,12,2,1,0.9166666666666666,0,0,0,0,0,498,54,1,5,19,1,13,1,Gaming,1,1,Finland,Finland,27600,3761569,180,0,20897.605555555554,0.007337363743693124,0,1,10.225607282932941,15.140346981406491,5.198497031265826,9.947437715897157,3620,155,14,0.04668508287292818
2JE03bCDDvk,19,6,7,1,4.991666666666666,4537.974375,3062.0,0,55,9,1,0.8181818181818182,0,0,0,0,0,2071,203,1,13,33,1,31,1,Gaming,1,1,Finland,Netherlands,560000,921629735,3514,0,262273.68668184406,0.0006076192843322269,247,1,13.235693848424024,20.641654113010375,8.164794804244766,12.47714765598204,162156,5809,225,0.0372110806877328
2ZUu8jDLfnc,14,6,7,1,9.889166666666666,3096.426770833333,803.0,0,52,10,1,0.6346153846153846,0,1,1,1,0,497,62,1,6,9,1,0,0,Gaming,1,1,Finland,Malta,474000,67388444,282,0,238966.1134751773,0.007033846930788312,37,1,13.06896471037963,18.025984122016023,5.645446897643238,12.384081220923557,73879,3419,157,0.04840347053966621
Fc6rcTo8pZI,13,4,7,0,58.98916666666667,2165.8199582348034,7215.0,0,38,7,1,0.5263157894736842,0,0,1,0,0,1214,145,1,11,38,1,0,0,Gaming,1,1,Finland,Canada,1190000,513870534,330,0,1557183.4363636363,0.0023157583890575833,39,1,13.989464705423494,20.057481914261086,5.802118375377063,14.258389900039436,703489,27109,1099,0.040097286524735994
ZnpxHaO2pig,14,6,7,1,9.998055555555556,5015.622893518518,695.0,0,63,11,1,0.15873015873015872,0,0,1,1,0,2596,320,1,18,52,1,28,1,Gaming,1,1,Finland,Australia,2250000,3116827172,5417,0,575378.8392098948,0.0007218879571549115,18,1,14.626441218624949,21.86008138961114,8.59748202264504,13.262785691616253,142009,10197,383,0.0745023202754755
_58NvZ_eoMI,16,4,7,0,55.035833333333336,5697.891493055556,2511.0,0,48,8,0,0.10416666666666667,0,0,1,1,0,483,56,1,7,14,1,25,1,Gaming,1,1,Finland,United States,460000,110621546,1244,0,88924.07234726688,0.004158321924012887,58,1,13.038983942375959,18.521625447245892,7.126890808898808,11.395549410392562,233676,8630,708,0.03996131395607593
EBXPV2-CccM,17,4,7,0,54.99,5495.825474537037,2919.0,0,14,4,0,0.2857142857142857,0,0,0,0,0,2929,352,1,13,83,1,27,1,Gaming,1,1,Finland,United States,8570000,4161655065,4295,0,968953.4493597206,0.0020592768660898137,82,1,15.96377840726007,22.14917868450115,8.3654396361887,13.783972881883292,837818,56487,2705,0.07065018894318337
qPo5JeVs3wQ,18,4,7,0,53.875,5667.941956018519,2768.0,0,55,9,1,0.2,0,0,0,0,0,1441,211,1,8,21,1,24,1,Gaming,1,1,Finland,United Kingdom,84000,9820292,89,0,110340.3595505618,0.008553717139979137,108,1,11.338583982516495,16.099961516952742,4.499809670330265,11.611334108216544,91584,3058,296,0.03662211740041929
7xHXGpArgQI,18,3,7,0,77.22361111111111,2907.66162037037,2132.0,0,22,4,1,0.5,0,0,0,0,0,1475,150,1,21,34,1,5,1,Entertainment,1,1,Finland,United States,7880000,5690354207,3319,0,1714478.51973486,0.00138479955963135,28,1,15.879838588737607,22.462038334113746,8.107720061910534,14.3546201054856,442016,17365,1143,0.041871787446608265
7uyieQS0SL8,14,5,7,1,33.99027777777778,2982.674363425926,875.0,0,41,7,0,0.12195121951219512,0,0,0,0,0,509,59,1,5,13,1,12,1,Gaming,1,1,Finland,United States,2320000,772515083,434,0,1779988.6705069125,0.0030031776091548495,139,1,14.657078174676883,20.465162092759133,6.075346031088684,14.392118119165426,660072,25104,3709,0.04365129864620829
vFMywo3y1mk,15,5,7,1,32.99166666666667,5411.767905092593,1774.0,0,37,7,0,0.13513513513513514,0,1,0,0,0,574,41,1,9,15,1,28,1,Gaming,1,1,Finland,United States,2340000,920121755,1410,0,652568.6205673759,0.002543141695416168,159,1,14.66566191468422,20.640016562728995,7.252053951852814,13.388673110674688,703068,27815,1519,0.041722848998958846
_91kDHXBCXo,14,2,7,0,105.91777777777777,3792.0277083333335,1073.0,0,48,9,0,0.14583333333333334,0,0,0,0,0,1342,190,1,6,23,1,27,1,Gaming,1,1,Finland,Netherlands,188000,37953553,336,0,112957.00297619047,0.004953422937768171,138,1,12.144202560946876,17.451873706959937,5.820082930352362,11.634771373535653,128879,11210,448,0.09045694023075908
L5C_f7-26mc,16,6,7,1,7.4911111111111115,5156.906331018518,1141.0,0,34,6,0,0.17647058823529413,0,0,0,0,0,531,80,1,1,11,1,11,1,Gaming,1,1,Finland,United States,668000,455111238,1188,0,383090.26767676766,0.001467773028272266,546,1,13.41204494952365,19.936052428353218,7.080867896690782,12.85602853658079,197456,12629,1110,0.06958005834211166
ChtNNyZ0NpY,14,4,7,0,57.3875,1940.2113852457292,837.0,0,36,8,0,0.16666666666666666,0,0,0,0,0,378,28,1,7,13,1,14,1,Gaming,1,1,Finland,Norway,876000,477541511,1320,0,361773.87196969695,0.0018343955024257568,145,1,13.683122511470389,19.984161650231986,7.186144304522325,12.798777396711298,211299,9964,348,0.048802881225183274
_Ee9FrFa2Xc,19,5,7,1,28.988888888888887,2554.9016319444445,1128.0,0,52,11,1,0.1346153846153846,0,1,0,0,0,877,73,1,9,21,1,20,1,Gaming,1,1,Finland,United States,1010000,198568717,133,0,1492997.8721804512,0.005086400392061757,156,1,13.825461878915961,19.10664578458082,4.897839799950911,14.21629732111612,545647,34188,1707,0.06578428910999236
rv0_tErdNkQ,15,5,7,1,32.35944444444444,5340.769675925926,1222.0,0,36,6,0,0.1111111111111111,0,0,1,1,0,627,50,1,8,14,1,45,1,Gaming,1,1,Finland,United Kingdom,413000,158919605,1252,0,126932.59185303515,0.0025987983043375927,87,1,12.931205293247745,18.883909009672763,7.133295954896068,11.751419329886478,96977,2721,82,0.02890376068552337
hbIEIQwzkTs,23,6,7,1,0.6286111111111111,3957.832025462963,993.0,0,50,8,0,0.02,0,0,0,0,0,247,15,1,4,6,1,6,1,Gaming,1,1,Finland,United States,1090000,169936048,117,0,1452444.8547008547,0.006414177644051132,142,1,13.901689171636098,18.950932741887264,4.770684624465665,14.188759489699,366116,27434,1114,0.07797528652121186
